candidate_id,"x [nm]","y [nm]",Δx [nm],Δy [nm],p,"t [ms]",Δt [ms],N_events,x_dim [px],y_dim [px],t_dim [ms],frame
0,30183.62799566572,24399.353857360296,9.243736793959743,10.56800870020005,2,700.3379,26.451606572947505,20,7,6,108.59,1
1,28636.371052915514,28193.964062356677,10.294495233391752,13.68948442394349,2,716.4003478260871,57.4439557819534,23,5,8,191.298,17
2,31745.440051414582,25476.926303300104,5.383081935411386,5.410144188898614,2,903.0138780487805,41.31272416415041,123,10,8,173.076,204
3,31747.498872913584,25466.331957905753,8.050365631695579,10.55406939483012,2,1086.85705,56.7500792800988,40,6,7,190.924,388
4,31685.082381630014,27852.885468519526,7.7710930310482835,8.44003940190822,2,1328.0777350427347,27.371710515359382,117,6,7,193.708,629
5,28933.065099639058,26360.276844409076,5.389979794270363,4.946502156604473,2,1488.027254385965,49.00943231303352,114,8,7,184.335,789
6,29726.202817440317,26285.200471995013,9.769863014613055,6.007698361315091,2,1701.564,36.25956305946277,38,9,6,179.66,1003
7,28969.40553052927,26353.868948611682,19.893071548172195,10.417071742096368,2,1684.0766451612906,55.737825551964164,31,7,6,179.32500000000002,985
8,32032.457637371375,27644.38731843277,5.932158027265106,5.892396206854447,2,1880.0842499999999,49.84378917986219,168,9,8,191.683,1181
9,32028.942300760937,27619.305754201956,8.577875223436013,7.7330574447706715,0,2082.35511627907,54.05147941232411,43,6,7,196.96,1383
10,30430.06730783535,26231.19233989315,10.106065763300306,13.138357073158675,1,2544.036206896552,42.561525658809146,58,6,8,168.113,1845
12,29949.397701807593,27088.261191191024,7.6754511453261065,8.210891137762605,2,2667.4589666666666,52.985890958338054,120,9,7,198.427,1968
13,29671.470534289383,26425.039058899427,4.875407863350366,6.053324216966694,2,2857.0913571428578,43.89090277072905,70,8,9,185.72400000000002,2158
14,31760.289487546113,25411.456376455655,6.545020330868476,6.587997159107682,1,3110.5490205479455,42.555582084383175,146,9,9,162.042,2412
15,32083.608750045496,27670.532110951415,9.60562607087289,11.803814372424357,2,3149.28490625,43.03452980264757,64,9,7,189.931,2450
