candidate_id,"x [nm]","y [nm]",Δx [nm],Δy [nm],p,"t [ms]",Δt [ms],N_events,x_dim [px],y_dim [px],t_dim [ms],frame
27,28217.07578024918,27501.026203641264,7.027148738621133,7.0010663305786585,1,4561.474384402844,2.2325437306092835,153,7,7,189.098,3714
28,30088.275147217624,26783.03462120053,22.692316881055437,44.02538603731064,1,4802.744572937475,2.1383660200830157,413,17,12,292.657,3956
29,31414.50605007174,24132.19124798011,5.608295449557883,5.0427043396643105,1,4756.347299306898,5.211089815777346,51,6,7,55.492000000000004,3909
30,32099.870644398008,29019.147253603565,6.3076439454932505,9.242672301721871,1,4772.010713374864,1295.8823654444104,46,6,5,39.27,3925
31,28417.11823579535,25706.72067898023,7.268187423894445,6.0279168169352655,1,4897.614227005098,267.1064691883274,52,6,6,59.901,4051
32,33571.35904227168,28456.960646519445,6.018553639880848,6.517422593411377,1,4927.141289134009,448.0487808204182,60,6,5,76.43,4080
33,30511.60659651088,28966.447110829497,5.513615322721637,5.424449454818641,1,5098.498494292017,14.25792698145304,160,9,7,158.597,4251
34,31470.966558144424,26001.19852683844,14.085901326090566,17.27920575296695,1,5145.600593748104,640.8581086693705,34,6,6,84.24,4299
35,32119.684733206,29022.27018321528,3.528486558689613,3.488943501664225,1,5443.209042799004,239.17866340806916,73,7,5,67.796,4596
36,30433.028513504854,26314.22666954967,7.263592483079627,6.006444867050392,1,5536.6405516871655,4.78137338550806,102,8,5,148.608,4690
37,32136.887186349744,29200.59054674061,9.505697448884462,8.204260419272357,1,5555.848279386186,429.73970992659537,89,5,5,108.97,4709
38,31395.15692887351,24848.98789760722,6.858461146107099,7.047694826617243,1,5706.464053810293,657.4901788466256,109,8,8,99.243,4859
39,32623.143549735723,26044.4846191743,4.2081569887504555,5.423955923543247,1,5920.229804972738,283.6436828084287,50,7,4,57.425000000000004,5073
40,31673.515512596445,27895.761958039464,5.1186105177594285,5.422855877404514,1,6287.561459892875,42.2486149951107,77,6,7,120.758,5441
41,30260.6286821854,28859.35054226232,4.1833732288447765,3.9848394814791193,1,6427.601067213021,10.157250705682447,377,13,13,134.548,5581
