candidate_id,"x [nm]","y [nm]",Δx [nm],Δy [nm],p,"t [ms]",Δt [ms],N_events,x_dim [px],y_dim [px],t_dim [ms],frame
0,30183.62799566572,24399.353857360296,9.243736793959743,10.56800870020005,2,700.3379,26.451606572947505,20,7,6,108.59,1
1,28636.371052915514,28193.964062356677,10.294495233391752,13.68948442394349,2,716.4003478260871,57.4439557819534,23,5,8,191.298,17
2,31745.440051414582,25476.926303300104,5.383081935411386,5.410144188898614,2,903.0138780487805,41.31272416415041,123,10,8,173.076,204
