candidate_id,"x [nm]","y [nm]",Δx [nm],Δy [nm],p,"t [ms]",Δt [ms],N_events,x_dim [px],y_dim [px],t_dim [ms],frame
0,33946.88273934414,49764.926761683004,30.365793954375626,40.03167713094974,1,2122.974615384615,163.41054309670403,14,7,8,477.789,1
41,35327.973935509,43772.678886758615,24.591654724445007,30.590974833096432,1,3178.03772721223,100.83083369245593,22,9,6,207.019,1056
43,39736.12189107244,52261.3094299458,9.686958753754636,11.832052200216935,1,3286.6616789458985,15.20351777144305,25,5,7,237.614,1165
46,35507.93020307028,44415.788485945115,8.330467245486348,9.671887691791962,1,3584.7202080944426,5332.972052323534,67,10,11,716.705,1463
64,36342.87308309632,45758.19308253858,9.898789476591075,12.626898484703075,1,4055.9146111111104,157.51616775399378,35,5,7,537.741,1934
68,38970.315782045596,51982.18224212579,24.56901558361826,15.293735672348161,1,3979.787645257369,786.6557807415664,38,14,10,278.021,1858
73,37399.999999457155,50722.66665979833,42.79445219029238,216.57130530624855,1,4472.506333333334,75.60918295565828,6,5,3,206.562,2351
76,38753.011726261124,46352.77586930067,32.92678446714407,20.67255018259436,1,5478.852480037998,1730.1168197266286,19,4,4,145.216,3357
77,39106.11653508971,47820.16102106399,7.28520431900606,11.923030943926793,1,5761.729707866118,0.0,25,9,7,564.345,3640
78,40661.78444953472,52435.55773147248,10.905213847971524,12.69340785896664,1,5177.501173280463,4.575971083152944e-14,58,13,9,596.686,3056
79,39027.64334068104,45866.71227504498,17.329942699382006,16.519419999217355,1,5776.976091733827,45.93137448236159,84,13,13,824.8100000000001,3655
80,34959.76791644826,44295.62195257822,34.09621425629019,10.455383503316995,1,5896.312993575251,0.0011144965279203877,30,8,8,478.52,3774
81,35526.622286058526,44115.38307507621,22.000906242967005,24.02331698534411,1,5765.826053828444,566.857784552618,25,5,5,199.291,3644
82,38864.42001769413,46873.26060513417,42.048910910403805,18.601944785420116,1,5868.851922485687,0.005643574680463931,16,4,6,279.264,3747
83,37821.6678941976,51059.59353508486,9.505643249603043,21.447351845787978,1,5959.550597778117,33.793006022655284,55,10,9,365.87600000000003,3838
