candidate_id,"x [nm]","y [nm]",Δx [nm],Δy [nm],p,"t [ms]",Δt [ms],N_events,x_dim [px],y_dim [px],t_dim [ms],frame
1,40054.52575773006,39654.09272955941,17.129454621889696,32.528752397885484,1,2079.4196107794764,962.4311376643063,29,7,6,82.34100000000001,64
3,38185.1512217005,44628.39756791532,31.387333899082694,15.217397463683914,1,2084.583159995488,48.65803519957194,15,6,8,77.824,70
4,38431.314944730344,45317.775183641934,9.423864507605883,11.787966324657372,1,2027.8980933770677,492.99048577929,46,6,6,95.325,13
6,36072.58635572927,38717.36320638443,12.271103803302916,37.695346909158864,1,2158.3415333333332,26.77191114798407,19,6,5,91.54,143
7,36666.128496098834,39446.62205014997,55.694829832709246,62.46744324417353,1,2205.6798728455224,72386796.62686002,12,6,5,87.153,191
9,40480.014106095594,45760.002993275324,11.255555638585884,11.26174333753478,1,2116.386580040896,1774.0589021417707,15,5,5,85.388,101
10,41480.0,46243.08010094006,206.323812194927,13.199068634745439,1,2131.637978034174,111901.34669798995,14,5,4,83.432,117
11,35166.61973780717,37162.05787913044,9.928120094739203,14.175541845751539,1,2235.15459944966,26.717868120954765,24,6,4,50.127,220
12,36035.79743482671,38739.22360531073,20.42225066876975,25.739521292699177,1,2209.7310168126487,303.3149455800179,17,5,5,73.492,195
13,37666.8263096466,44368.01425881524,11.54432004024706,13.864044822084729,1,2244.299002334818,46.12480902401749,20,6,6,93.775,229
14,41250.37742507255,46080.45372541965,10.080384664946855,17.82543706784455,1,2222.7451404848916,4716.714391898509,19,4,6,88.95700000000001,208
16,39637.39275580466,39175.37385406048,21.04419769801261,18.50655452827005,1,2320.2200802977545,8.649591883386428,16,5,5,90.364,305
20,39226.69288251805,45459.83971861307,24.122956709215803,188.43080123567574,1,2308.8277672643417,2188.3876083477635,11,7,6,63.559000000000005,294
21,40094.19510842991,45676.685478837186,16.78081611483664,12.698646590644923,1,2317.6587199972046,3081.5066289135525,16,5,5,70.839,303
23,39629.15426109014,40004.09052089234,31.9001922469473,17.509071922614815,1,2501.946800788447,37105.72717522904,16,5,7,37.026,487
26,40314.443419661446,41928.31166508926,15.771828880400241,13.140604644289429,1,2463.901780407929,29443.900843790412,28,7,6,76.277,449
30,40312.306641096206,41559.33089918551,17.021864422012335,36.697035618105275,1,2518.573412391137,2498.904216261599,27,8,4,57.888,504
