candidate_id,"x [nm]","y [nm]",Δx [nm],Δy [nm],p,"t [ms]",Δt [ms],N_events,x_dim [px],y_dim [px],t_dim [ms],fit_info,frame
0,40125.250957420954,33301.87431568785,10.481238723109325,10.43485800519891,1,2225.1577297455538,13.522202249961357,96,6,6,101.871,1,248
1,40574.30233602989,31605.198989710712,9.491508452701506,7.7167729433048144,1,2322.443991820514,11.012249239390457,57,7,5,64.566,1,345
2,36229.42044836,31494.044839013568,7.71342226376894,8.1939646740371,1,2539.0975894751714,5.138001094055388,49,5,6,53.624,1,562
3,35641.48416731038,32521.285548428743,8.400902980682595,9.222482188404427,1,2576.147876061315,5.256426884294865,147,7,10,126.917,1,599
4,35324.306902882934,31713.02573806663,6.656959492743733,8.521874731732643,1,2831.775633333333,17.55061831291292,60,8,8,65.631,TimeRuntimeError: Optimal parameters not found: The maximum number of function evaluations is exceeded.,855
5,40714.298294207,31613.223960279764,7.976833263739607,4.571893052259944,1,2863.3186574070564,23.80947673139692,94,6,5,110.507,1,886
6,37815.37085025841,30509.442081064222,6.905938137355758,6.804275036219622,1,3047.669810486298,7.568236242547302,141,7,8,160.855,1,1071
7,36120.43842733985,34570.19257086364,6.873545142189101,6.919434640756056,1,3044.379002253369,24.952809448923418,123,8,7,137.258,1,1067
8,38198.795904677856,33208.66581619073,9.905488507536086,11.741829491486959,1,3144.193094328984,131.5245670346943,56,7,6,58.625,1,1167
9,35325.07650183318,31757.052222626204,7.093222315386835,7.847733384343638,1,3204.572481025035,35.16153587612858,120,8,7,113.483,1,1228
10,38198.47812535068,33225.928632889765,30.329134985264155,34.91006942794021,1,3209.522691169618,138.7024875936544,25,5,5,24.218,1,1233
11,34575.98406211888,30584.95421736069,10.190969510040775,7.597476810068677,1,3223.0813024565655,13.732214765369129,72,6,6,80.52,1,1246
12,37829.28934476186,32002.228485687694,5.786412943579316,4.959600589237838,1,3252.9448826984544,1260.1000452618268,197,9,11,159.859,1,1276
13,34694.49707936626,28300.672924966842,5.352241538408942,4.7461424320582015,1,3689.622604614932,21.88430092380236,91,6,8,94.574,1,1713
14,37291.97966019071,29849.972149019744,7.532671339136963,8.241774212904904,1,3727.4177049458744,32.775385788672246,93,6,6,88.759,1,1750
15,37138.431228288675,32642.39577695448,9.719906568428033,9.514243624579427,1,3845.8943077409795,67.206890660872,56,5,5,31.954,1,1869
16,35646.162707559895,32538.596667524176,10.287350865561484,8.372441877828715,1,3860.2774820095274,2833.6985461816994,68,5,6,68.132,1,1883
17,37931.5744783572,35769.68819833371,8.234720458441288,9.57226059939248,1,3929.3919266064486,8.109812831318958,82,6,5,127.162,1,1952
18,35755.96484752218,28436.069638432273,11.766763233904957,13.392465761258393,1,4324.422769904784,156.03178272587093,43,5,5,63.517,1,2347
19,33266.89166579605,33946.03529649343,9.67390865592079,10.94901584581333,1,4352.7693500000005,20.111333275730434,39,7,5,78.277,TimeRuntimeError: Optimal parameters not found: The maximum number of function evaluations is exceeded.,2376
20,33589.262660958164,33008.21665478363,7.4799516040799565,6.948177790881276,1,4561.4743845121775,2.232543156418438,153,7,7,189.098,1,2584
21,35796.18790894681,32200.195031545732,23.243804506577067,40.40140354067643,1,4802.744572866695,2.1383662226443265,413,17,12,292.657,1,2826
23,37402.66506325282,28987.915538311805,6.2105680922659126,6.002660975590857,1,4756.347299334774,5.2110894934013965,51,6,7,55.492000000000004,1,2779
24,38217.49599531476,34813.21951706892,4.732599397489857,8.755566204705739,1,4772.010713374072,1295.8824418133456,46,6,5,39.27,1,2795
25,33823.604369366585,30861.627990453555,6.455545636870388,5.898350898858701,1,4897.614227068873,267.1065274837782,52,6,6,59.901,1,2921
26,39979.071460730585,34153.77567948026,6.527791833232436,7.738102821227843,1,4927.141289062617,448.0486789260211,60,6,5,76.43,1,2950
27,36325.58540807449,34756.63300402251,4.80654838793124,5.0700491621421575,1,5098.498494331391,14.257925447311354,160,9,7,158.597,1,3121
28,37469.2105200369,31213.858071013165,17.346477477064834,20.66677650641763,1,5145.589071900561,665.6040641618653,34,6,6,84.24,1,3169
29,38250.054057169065,34823.69314520693,4.144708883477126,4.337965972072727,1,5443.20904279355,239.1786617278732,73,7,5,67.796,1,3466
30,36237.01964954501,31584.74080699138,6.525461303714447,5.763722459353042,1,5536.640551696671,4.7813737594589405,102,8,5,148.608,1,3560
31,38269.476223834135,35030.631986469685,10.270613022916496,8.744193494436876,1,5555.848279372228,429.73970205505464,89,5,5,108.97,1,3579
32,37381.38986621408,29844.405620121757,7.3499158179451305,7.521905856801015,1,5706.464053476924,657.4901641346072,109,8,8,99.243,1,3729
33,38849.49596695422,31267.668393517866,4.482888617556014,7.836260735936177,1,5920.229805132598,283.6437431013675,50,7,4,57.425000000000004,1,3943
34,37717.85209995167,33475.693562900095,6.846117485227077,6.830030093853205,1,6287.561459907111,42.24862064625924,77,6,7,120.758,1,4311
35,36029.76670400704,34627.9977682351,4.463801208288203,4.296778173534722,1,6427.601063542556,10.157241196941806,377,13,13,134.548,1,4451
36,35721.867072081855,32490.50342240349,13.55191469538848,11.948418602832252,1,6839.135502825652,59.53377575756027,113,6,6,113.745,1,4862
37,37211.74555328667,29859.93768901349,8.74334545331876,8.350058708572169,1,6982.351489816281,2026.926135829582,78,5,5,80.32300000000001,1,5005
38,36222.53675194306,34782.937927683604,10.597211902743965,10.018331838914744,1,7223.595078727177,75.49040234583252,40,8,5,48.275,1,5247
39,35847.70784936165,28397.807114940755,7.149468517925502,7.13338696229912,1,7223.0498951014615,35.84385231337294,56,7,5,88.876,1,5246
40,36556.673394539306,33697.17951770232,6.157298036037253,6.80196594086455,1,7284.001665529582,464.15547061662414,145,7,8,171.472,1,5307
41,32971.40573200174,33144.55075767194,8.945425612368686,7.458766862656205,1,7408.164655894065,40.430296722012386,122,9,4,83.488,1,5431
42,38679.00499222399,34485.87242803594,6.7355481500391,5.856132683280561,1,7535.843390508216,1.6420002814982666,146,7,7,153.103,1,5559
44,37013.39848223632,32808.78559012442,31.357933460348764,48.652108773157195,1,7627.887878068643,29.707634690650405,18,5,5,45.132,1,5651
45,37454.255629256986,32928.788938686324,8.066339898876416,9.459692794886147,1,7677.3266025609755,15862.795710682312,54,7,6,51.284,1,5700
47,36440.01227272963,31678.44352172623,16.738170633793708,16.65286180239801,1,7890.104013124428,2.1132440088747964,69,7,6,119.21000000000001,1,5913
49,37192.666212214615,35836.770657722795,6.109697859894478,5.9635642294001485,1,8297.585539544267,2050.556507320238,116,7,8,115.08500000000001,1,6321
50,36091.32180269325,34675.39439581192,6.903259029603173,6.931369380888544,1,8761.468258685514,27.458333015000534,55,6,7,61.075,1,6784
51,39684.60536784258,33818.262061072644,6.556199235598782,7.883963255579926,1,8805.289162919504,90.88167525486196,41,7,7,53.463,1,6828
52,35392.28239819521,31641.637055911568,7.364508443940727,7.374819939058167,1,8850.035271227802,140.3065127523845,91,7,5,103.158,1,6873
53,40401.3453579725,28803.40185806719,6.756703346091765,6.9773899005054005,1,9061.34160466027,59.8261110754988,69,8,5,55.7,1,7084
54,38086.67419609135,33079.65494407623,5.464220075515788,8.144065295179095,1,9141.726654798216,8.085190727993176,69,7,5,58.42,1,7165
55,36140.93303100944,28944.0131913888,6.101759538826876,6.871138772334634,1,9176.218628533918,46.63261147042502,74,6,5,18.363,1,7199
56,37944.41937457095,35766.311421873026,8.84063089804039,11.523750022644405,1,9845.056019690277,248.20574004874845,45,4,5,49.954,1,7868
57,33254.48167587144,33933.54881303267,5.421192981712846,5.545400047424729,1,10033.224925765784,271.8878151143671,222,9,11,201.55100000000002,1,8056
59,37429.51043290213,31150.526123833766,10.068388586033903,6.8980984758908,1,10722.302200000002,19.591923744237103,49,5,7,97.684,TimeRuntimeError: Optimal parameters not found: The maximum number of function evaluations is exceeded.,8745
60,37956.75038016864,35760.3822927374,8.04524248047039,8.838822126728324,1,10695.606007960361,11.099679208017015,60,5,7,81.95,1,8719
61,36099.48234870283,34660.401721939335,4.576156237419705,4.239985523698568,1,10797.959260569112,6.913564965014807,106,9,10,119.714,1,8821
62,36828.67617117439,35564.25620553443,10.095328289335912,23.27055076545776,1,10804.366096251464,344.5665136251492,36,6,5,53.207,1,8827
63,40051.130289037545,28814.616211125547,5.286858071252006,5.9054125412754,1,10808.509462963031,6.997508053169074,128,8,10,121.938,1,8832
64,37819.89996607338,35854.93085982629,5.6355186141411115,6.628942867272508,1,11011.274257963105,218.03562122189223,110,6,6,148.371,1,9034
65,40134.55595860901,33289.74169363316,10.764514999193368,10.559145407588773,1,11372.986619435427,10.085615115727563,187,9,8,145.368,1,9396
66,39001.8270189812,32436.855508838158,7.960523183206876,5.600435273150212,1,11451.643199850052,6.021199163388168,32,3,6,38.286,1,9475
67,37893.92208916692,35779.595932067634,7.826800252489984,8.098700380332545,1,11538.236822170562,21.187213884293115,65,7,5,69.584,1,9561
68,38269.52694397208,34967.012513459806,8.69056713948264,9.434584942961434,1,11844.09752841743,7.345469582080152,98,6,5,153.77700000000002,1,9867
69,37821.458330946945,30488.459057688382,7.883551683042068,7.870669879400861,1,11854.76694289806,17.97144487541673,73,7,6,65.611,1,9878
70,37431.66736645975,31176.15442942373,17.641662310682825,8.314855987064103,1,12106.371467945935,1217.473174632277,39,5,4,43.547000000000004,1,10129
71,37150.65158068523,35774.106444502744,5.298348168805993,5.506833906858476,1,12139.253815761072,4.165900996890366,133,8,7,162.41400000000002,1,10162
72,37554.4953052292,32943.43734217061,6.337371890656977,7.038721563188931,1,12201.799679814465,7.572794401363858,129,6,6,123.714,1,10225
73,37825.79694853878,35857.0311169524,4.55903188422636,5.220493064245599,1,12568.408725835976,1.7356301421410074,105,6,6,103.624,1,10591
74,36054.84074998336,34737.74019254108,10.194129898544142,9.244842876860526,1,12845.270584836066,11.226162168847594,50,7,6,38.146,1,10868
75,38870.95153208867,31289.71366644702,5.3884942234817075,5.126574507753344,1,12852.596105994871,1393.7026652909153,146,9,10,128.27700000000002,1,10876
76,36859.66581295879,33256.309467834464,11.91212621639397,15.4530322127261,1,13027.395789598637,0.2775691289645045,21,5,4,28.52,1,11050
77,36356.36496404055,32347.733793744595,8.161795361454262,7.721743649334352,1,13090.756555555556,30.676564089839335,140,6,8,116.279,TimeRuntimeError: Optimal parameters not found: The maximum number of function evaluations is exceeded.,11114
78,37718.11439433585,33496.849630302204,6.660204911274361,7.180695959414011,1,13082.358942658302,7.0870354702474865,105,7,8,137.59,1,11105
80,40186.169813591325,33238.33420892955,10.811309778754374,10.087153722746505,1,13316.20880373812,28.41430947209383,148,7,6,163.87800000000001,1,11339
82,36247.029658122075,31527.26016628096,7.56791305448946,9.807255828653435,1,13422.707254430461,13.755073110900575,150,8,6,176.631,1,11446
83,33581.877337952494,33002.96713622581,7.741049345858599,8.452279034383071,1,13636.50584491084,1366.1119703501226,62,8,5,58.328,1,11660
84,38622.365260178565,35781.516543138125,2.0972620623838303,3.6324136838397085,1,14032.799969367736,8.989624332604027,55,5,4,50.051,1,12056
85,36078.8133254479,34745.81218247624,7.5519247571329196,6.334752066937561,1,14176.75553569365,3.5318738339799736,95,7,6,97.044,1,12200
87,37260.36571725078,29857.226333502324,4.913852165334639,4.883212084028774,1,14337.658324324328,15.449525669363648,109,7,8,59.262,TimeRuntimeError: Optimal parameters not found: The maximum number of function evaluations is exceeded.,12361
88,34576.336512969865,30584.20120198388,7.137649343663549,6.223405197193289,1,14492.880581689858,745.5887655269279,69,7,6,65.3,1,12516
89,35708.31580303838,32502.39985309068,7.310507447750717,9.51878580918173,1,14904.336829268292,39.88777036300491,146,10,8,149.031,TimeRuntimeError: Optimal parameters not found: The maximum number of function evaluations is exceeded.,12927
90,35850.89255414669,28394.89108842883,5.789218270030494,6.76972205464204,1,14957.489948427376,106.15465489728403,70,5,8,41.815,1,12980
91,34888.633024821305,34840.43170069138,6.803225260732063,6.502386975291618,1,15323.938335089639,21.390700647738782,126,6,6,165.16,1,13347
92,40384.53982908388,28806.334742950854,8.745573548885178,7.187700632466482,1,15659.570808311348,22.286345069210643,98,6,6,127.604,1,13683
94,34871.33310352649,34834.068733423264,7.277854821864986,5.837908576721516,1,15742.360815069818,1.90161400211826,52,4,8,57.192,1,13765
95,35748.3386433816,28431.34737327265,8.013442679172478,8.139072579653364,1,15813.387694271747,7.7764587903611195,172,7,10,188.285,1,13836
