candidate_id,"x [nm]","y [nm]",Δx [nm],Δy [nm],p,"t [ms]",Δt [ms],N_events,x_dim [px],y_dim [px],t_dim [ms],frame
69,35489.23076923077,31466.153846153848,121.68443035867809,118.161458088138,1,8908.38106509561,722.3276724364847,52,7,7,98.416,6931
70,35476.36363636363,31476.363636363636,140.7731504577743,130.7743414231387,1,9015.68362313323,1006.6513585592037,33,6,8,90.673,7039
71,36243.24324324324,28783.783783783783,87.67427599109362,97.51926632518263,1,9176.218627446879,46.62949200339673,74,7,6,18.363,7199
72,38182.35294117647,32920.0,87.68455573747804,103.12756235675823,1,9141.727177561288,4.727381132645075,68,7,6,58.42,7165
73,35451.42857142857,33851.42857142857,51.110125199995196,99.63197585235825,1,9306.01917443193,13.04703129308573,7,5,3,20.847,7329
74,38508.23529411765,32983.529411764706,94.82090202169358,83.52112634964165,1,10258.56367677631,183.71777615736642,34,6,7,44.589,8282
75,39524.444444444445,30768.888888888887,97.87873575797886,92.90908871274166,1,10410.19001255622,3.855768565236463,18,5,5,73.83800000000001,8433
76,36040.0,29228.571428571428,50.142653642240695,77.7226886213454,1,10592.1323393147,3.462005354408579,14,4,3,19.066,8615
77,39714.28571428572,34211.42857142857,103.49011586442762,71.59979477795238,1,10635.972734750758,8.803338977975374,14,4,6,39.951,8659
78,37539.622641509435,30967.547169811318,114.09962982016154,102.21888575599706,1,10709.02922085659,76.0480178386021,53,6,7,95.889,8732
79,40155.93220338983,28649.491525423728,104.07166116602991,110.79716891710711,1,10808.438157261315,28.3838805595729,118,7,7,94.925,8831
80,36201.81818181818,34501.81818181818,111.17702360880324,104.9517795611768,1,10806.408651814645,2.901910963946836,88,6,8,98.947,8829
81,40350.0,28660.0,105.35653752852738,158.74507866387543,1,10937.03125,31.50432518619468,8,7,5,78.521,8960
82,40227.450980392154,33140.39215686274,85.85996664096633,89.39800375701965,1,11386.72347368421,9.37325772368235,51,6,5,32.746,9410
83,39105.0,32287.5,88.17596044274198,71.71994143890527,1,11453.335653321952,8.758066319570165,32,4,5,28.38,9476
84,40235.294117647056,33128.73949579832,102.2998026843819,111.60068839467769,1,11409.50529470529,1.5562181799861436,119,7,7,96.474,9433
85,37924.21052631579,30336.84210526316,97.60190119698926,101.34460743037585,1,11854.809448872644,19.476253200549717,57,6,6,50.741,9878
86,38369.69696969697,34797.57575757576,93.17578201686116,105.11264673298811,1,11844.48994972215,10.201790587387208,66,6,6,90.873,9867
87,37909.333333333336,30346.666666666664,116.3595958894476,107.99176923368846,1,11914.377333333334,4.8759074733722985,15,6,6,14.221,9937
88,38380.0,34806.153846153844,101.52680585782412,130.1796664695765,1,11909.208533760471,3.9998616219544862,52,8,6,95.357,9932
89,38311.57894736842,34774.73684210526,139.52034969078647,144.63632873530668,1,12008.529837285876,23.167908253877787,19,7,7,71.599,10032
90,37540.51282051282,30996.923076923078,103.62527951027765,86.5922909505864,1,12109.233369193638,2.143014905113028,39,6,6,35.87,10132
91,37660.18348623854,32786.78899082569,105.15154333981612,111.83934032323195,1,12207.838566942854,6.440021125517087,109,7,7,97.758,10231
92,39771.42857142857,28880.0,73.17856271351828,109.0216230190795,1,12376.159799999998,27.778977223072683,14,5,4,80.148,10399
93,37668.57142857143,32828.57142857143,104.11924090450627,126.87773320671154,1,12317.040928571429,4.880720138086772,14,6,6,16.062,10340
94,38975.07246376811,31128.115942028984,96.5735161644466,95.4816222140906,1,12852.469695105647,240.70015367702433,69,6,6,56.904,10875
95,36160.0,34580.0,101.9803902718557,103.92304845413264,1,12844.070468121456,5.251180343657806,48,7,5,72.145,10867
96,38965.479452054795,31135.342465753423,129.96354700601506,131.5251128870356,1,12904.869902622264,189.1330444438415,73,8,8,95.608,10928
97,37821.81818181818,33330.90909090909,86.74080321364772,101.03595628690766,1,12970.5775,15.629391226376836,22,7,6,65.563,10994
98,36452.602739726026,32180.82191780822,105.28535780362037,99.99662219853494,1,13061.927932025956,16303.406439959752,73,7,7,44.569,11085
99,36977.77777777778,33090.37037037037,85.25922708111501,117.55161140668072,1,13025.41536725705,35.88948033270967,27,7,5,73.441,11048
100,37812.30769230769,33360.0,99.08456731141302,104.07098169407854,1,13082.323171906102,15.022469138204604,26,6,6,88.134,11105
101,36457.142857142855,32206.857142857145,119.53651990850634,116.71140055884928,1,13108.347324978591,8.10354997444339,70,6,7,94.556,11131
102,37824.21052631579,33342.10526315789,106.24280976159648,117.94641724410377,1,13105.678677998812,8.798197614055326,76,8,7,98.569,11129
103,36480.0,32174.117647058825,147.76770322924784,144.50967089679142,1,13222.977818014504,457.7055649087896,34,8,7,99.152,11246
104,40277.19298245614,33076.491228070176,84.88907903981385,94.85892069454485,1,13330.496149789798,1.8616309795465522,114,6,6,93.94800000000001,11353
105,36348.641975308645,31266.172839506173,96.81027756912867,90.46611672141816,1,13422.68196579451,125.22216104683253,81,7,7,81.016,11446
106,40260.86956521739,33106.08695652174,120.79134159433279,125.16907280310664,1,13406.187017437944,102.40286194685467,46,7,7,95.586,11429
107,36341.53846153846,31467.69230769231,118.57137764921659,84.80631140221178,1,13524.87979938207,1.1553008266250655,78,7,6,92.385,11548
108,33678.688524590165,32839.34426229508,87.5059793710808,112.78688524590164,1,13636.617225909158,2536.0184380153432,61,8,5,58.328,11660
109,36698.66666666667,33605.333333333336,84.99934640271589,94.5069074489032,1,14083.739609125067,555.3385082472272,15,5,5,62.767,12107
110,37542.22222222222,32715.555555555555,83.50352990247082,120.65663964887314,1,14128.373391519914,325.55557786842076,18,6,4,64.175,12151
111,36187.42857142857,34594.28571428572,126.76959656102443,90.27848072288685,1,14178.458263132869,1131.1222441745613,35,5,7,35.055,12201
112,36197.96610169492,34566.779661016946,118.1607589371354,109.52038240709788,1,14209.437513726112,15.225751112264932,59,7,7,77.005,12232
113,37357.71428571429,29695.238095238095,105.58911508526718,102.44715467563648,1,14313.687092111704,883.3975994197368,105,7,7,59.262,12337
114,34672.94117647059,30428.23529411765,67.54211809132858,60.99520657325045,1,14489.692702315353,1017.5827401766846,17,4,4,19.318,12513
115,34667.69230769231,30424.615384615387,91.32813587480511,89.49562813691685,1,14509.534478918738,7.687974644319743,52,6,6,84.962,12533
116,36032.0,29192.0,64.0,90.86253353280438,1,14754.765897456331,4412264.216906398,10,4,3,20.41,12778
117,35818.30508474576,32330.84745762712,101.86652187657194,95.97471657863805,1,14862.256042578187,190.73276677803923,59,7,8,78.802,12885
118,35809.38271604938,32334.814814814814,92.86051771688422,118.66657418963428,1,14906.622614480402,173.57485676843348,81,8,6,75.797,12930
119,35996.799999999996,29164.8,76.66655072455002,71.83982182605968,1,15361.607242669903,350.94568130764765,25,4,4,26.802,13385
120,34983.25581395349,34679.06976744186,96.73076830029515,93.5057255674721,1,15324.017244556342,25.12959875350545,86,6,6,80.546,13347
121,39305.0,31935.0,67.63874629234341,81.08637370113428,1,15425.355898169264,316281.17021040124,16,4,4,92.908,13448
122,34999.06976744186,34671.62790697675,112.30800575096981,125.77074441790191,1,15410.259646683813,73.29552734664186,43,8,6,97.08,13433
123,35089.23076923077,34689.23076923077,119.64444366291434,101.86427912151908,1,15516.245272302043,29.92811385399171,13,5,7,46.998,13539
124,40227.36842105263,29696.84210526316,83.15123224476422,92.05562572242293,1,15668.894073856583,3.802150017032611,19,5,5,58.152,13692
125,34976.32653061225,34653.0612244898,82.38025019783095,82.96062704269387,1,15742.282175761104,1.4557975736512212,49,5,6,57.192,13765
126,35898.66666666667,32802.66666666667,92.22195448421644,110.24014191250339,1,15935.598699999999,24.28224618337463,30,6,6,98.43900000000001,13959
127,39297.77777777778,31968.888888888887,82.43216440440627,84.91099188685689,1,16189.862118267307,23.76265286110028,18,4,5,82.149,14213
128,35021.44927536232,34737.391304347824,89.46338190775849,101.80476020180959,1,16223.52627501247,149.62131672503696,69,8,6,79.742,14247
129,40313.53535353535,33016.56565656566,84.07924510364163,89.7151678691014,1,16321.685685168242,117.17430435166125,99,6,6,73.016,14345
130,37310.4,28988.800000000003,87.47479637015452,76.33190682800999,1,16481.82385679876,994.5793563028164,50,5,6,41.959,14505
131,37323.01075268818,28988.387096774197,105.94972378633747,106.00558235027408,1,16507.44856076457,0.45468087545241176,93,7,6,96.96900000000001,14530
132,37375.48387096774,29016.774193548386,120.93289820758692,131.9918642843295,1,16610.931251947135,1.7818265554926145,31,6,7,93.571,14634
133,37576.55172413793,31004.137931034486,116.03435466509299,97.60996420940211,1,16637.704974945842,17.6745643694319,58,6,7,71.751,14661
134,37570.0,30948.0,119.58260743101398,109.61751684835777,1,16708.38238371501,114.6961900906547,40,6,7,98.361,14731
135,34960.0,34657.77777777778,99.77753031397177,73.29965556653619,1,16706.893719453885,50.3953906339513,9,4,5,26.009,14730
136,37575.38461538462,30876.923076923078,121.0604035255754,92.76808265650054,1,16819.703844508935,362.7025614800927,26,6,7,82.528,14843
137,36340.0,31365.714285714283,92.27288721117225,106.75166681296803,1,16866.476355203573,64.4190748227811,28,6,6,33.525,14889
138,37363.47826086957,28914.78260869565,128.08314879667455,145.08976427557712,1,16972.530659759042,2377.658251915843,23,8,7,87.434,14996
139,35709.62962962963,31555.555555555555,75.88887985105599,95.73626323794673,1,17182.405466666667,21.34767362771793,27,7,4,76.57000000000001,15205
140,39476.92307692308,30809.846153846156,98.30757192721654,87.08072837567373,1,17372.62036,17.17246803666831,65,6,6,61.733000000000004,15396
141,39493.846153846156,30807.69230769231,118.161458088138,120.77657988418412,1,17407.640550712178,77.12273510090607,52,7,7,98.447,15431
142,40305.6,33022.399999999994,82.65978465977273,88.78198015363253,1,18125.557864426857,526368.4043757528,100,7,6,79.406,16149
143,38351.72413793103,34811.034482758616,77.10579232757895,99.04178246077926,1,18148.93974678333,9558.129041551016,58,6,4,53.99,16172
144,40303.333333333336,33050.0,108.26921179274477,128.19256348686275,1,18212.932160337237,368.77964230198194,48,8,6,96.659,16236
145,36320.0,31325.21739130435,95.82592914056285,105.04117475159305,1,18657.769401357473,150.14315617527734,46,6,7,98.519,16681
146,38330.35294117647,34656.94117647059,99.53358355879367,101.26289058870788,1,18618.2389391767,391.3778957394071,85,7,6,86.651,16641
147,36309.333333333336,34685.86666666667,106.39966583072001,104.65299273737416,1,18614.164156349256,3.0188575501944372,75,7,7,96.36200000000001,16637
148,36311.57894736842,31375.438596491225,106.68513228900991,108.51582753727834,1,18705.823648861267,16.530643526684166,57,7,7,85.152,16729
149,34819.753086419754,31844.938271604937,102.53545377379217,79.8474387413639,1,18708.360602443052,77.34324299374113,81,6,7,87.098,16731
150,34810.64516129032,31847.096774193546,114.11469849266027,111.30294458577966,1,18884.037830911206,597.0021431723119,248,7,8,97.72,16907
151,34935.0,34615.0,83.51646544245034,61.44102863722254,1,19195.06565033572,512.5609017964986,16,4,6,16.828,17218
152,36335.0,34600.0,85.87782018658834,89.44271909999159,1,19185.068383220812,47.650202467239446,16,4,5,25.821,17208
153,37589.39759036145,30826.987951807227,93.56847112876412,107.0270198939089,1,19252.011067494648,178.50323953432877,83,8,6,94.642,17275
154,34927.5,34635.0,95.62295749452639,89.30285549745875,1,19207.544206968774,140.59021929046477,32,5,5,35.12,17231
155,39750.76923076923,28833.846153846152,96.91086614168383,103.88888009928695,1,19428.60870660949,23.928784349697526,104,6,7,81.596,17452
156,38430.0,33481.90476190476,103.53283353143397,102.14923944984322,1,19549.439952927423,5.595883805626901,168,8,7,49.82,17572
157,37400.0,29701.39534883721,86.91080699253128,111.43005722328823,1,19634.52709282582,182.89717198597003,86,6,6,77.431,17658
158,37428.57142857143,29680.0,129.29952570268296,124.1460627565739,1,19711.16670243174,302.04982940434417,49,7,7,77.614,17734
159,34677.43119266055,30423.48623853211,107.04027939210093,98.31027596889714,1,19706.98607291165,32.64974833653975,109,7,8,98.474,17730
160,34744.444444444445,30397.777777777777,131.74985651361456,128.56280590329536,1,19815.614069661417,55.955571545920066,36,7,7,97.096,17839
161,34976.470588235294,34687.05882352941,79.47927413672724,93.29048283105416,1,19972.443693620626,170.91836900260472,34,6,5,33.178,17995
162,34987.05882352941,34683.529411764706,108.56089133766211,95.48274722326039,1,20005.301972354162,143.4818166583815,68,6,6,88.807,18028
163,39798.260869565216,33669.565217391304,77.77627747825355,89.22264583221329,1,20251.481170391926,5165.571712158556,23,5,4,33.659,18274
164,40260.0,33112.0,66.33249580710799,83.5224520712844,1,20391.762061575755,4636201.158554027,20,5,3,13.785,18415
165,36940.759493670885,35362.0253164557,85.5920875305942,96.91938117675261,1,20334.823041736545,474.66406013822433,79,6,6,71.265,18358
166,40230.89430894309,33144.06504065041,102.62417130831099,106.47216055366692,1,20407.3289036042,2.4654344863063784,123,7,7,97.542,18430
167,35978.867924528306,29133.584905660377,94.72224295690404,86.1568192774662,1,20530.331924541184,3.045867809958328,53,5,6,98.46900000000001,18553
168,40244.21052631579,33134.73684210526,131.00083525140246,118.73758865013535,1,20505.314550100586,343.90912515216803,38,6,8,98.074,18528
